# rank_popular.py 2026-09-22 -- popularity-ranked, fetchable (MediaFire/archive.org alive)
nuketownremastered  # 446842 views (ugx) top100, 484 MB, mediafire.com
nachtderuntotenreimagined  # 535943 views (ugx), 294 MB, mediafire.com
pokemonwherelegendsbegin  # 403259 views (ugx) top100, 227 MB, mediafire.com
dome  # 425536 views (ugx), 383 MB, mediafire.com
malibudriveageofapocalypse  # 315865 views (ugx) top100, 353 MB, mediafire.com
relinquishedprojectnova  # 366141 views (ugx), 336 MB, mediafire.com
utbox  # 353435 views (ugx), 64 MB, mediafire.com
nuketown1886  # 336245 views (ugx), 468 MB, mediafire.com
killhouseiw  # 261743 views (ugx) top100, 364 MB, mediafire.com
cryogenic  # 252778 views (ugx) top100, 466 MB, mediafire.com
thepath  # 307876 views (ugx), 57 MB, mediafire.com
fivenightsatfreddys  # 298817 views (ugx), 231 MB, mediafire.com
townofthedead  # 223765 views (ugx) top100, 483 MB, mediafire.com
futurama  # 269663 views (ugx), 208 MB, mediafire.com
zhunterz  # 212844 views (ugx) top100, 366 MB, mediafire.com
bloodsportxmas  # 241424 views (ugx), 128 MB, mediafire.com
cargo  # 238917 views (ugx), 357 MB, mediafire.com
nightclub  # 227012 views (ugx), 480 MB, mediafire.com
bridge  # 217175 views (ugx), 134 MB, mediafire.com
deadpalace  # 214883 views (ugx), 231 MB, mediafire.com
highrise  # 182172 views (ugx), 205 MB, mediafire.com
lorkeepstation  # 181600 views (ugx), 185 MB, mediafire.com
cube  # 178064 views (ugx), 315 MB, mediafire.com
christmasinprison  # 171698 views (ugx), 326 MB, mediafire.com
thirtysevenchristmas  # 134511 views (ugx) top100, 328 MB, mediafire.com
arenachallenge  # 167872 views (ugx), 59 MB, mediafire.com
dixmorasylum  # 128213 views (ugx) top100, 297 MB, mediafire.com
prisonmission  # 126949 views (ugx) top100, 336 MB, mediafire.com
revolutioninfinite  # 152822 views (ugx), 420 MB, mediafire.com
celerium  # 150200 views (ugx), 622 MB, mediafire.com
hotelversion2  # 150128 views (ugx), 184 MB, mediafire.com
dualwieldchallenge  # 147498 views (ugx), 330 MB, mediafire.com
beachtown  # 115239 views (ugx) top100, 257 MB, mediafire.com
bored  # 143532 views (ugx), 346 MB, mediafire.com
cxca  # 143500 views (ugx), 155 MB, mediafire.com
undeadhospital  # 141540 views (ugx), 323 MB, mediafire.com
enclosed  # 141113 views (ugx), 409 MB, mediafire.com
library  # 139305 views (ugx), 328 MB, mediafire.com
purpledimension  # 111076 views (ugx) top100, 299 MB, mediafire.com
minecraft  # 133407 views (ugx), 262 MB, mediafire.com
aliendefense  # 102851 views (ugx) top100, 276 MB, mediafire.com
battlestargalactica  # 101881 views (ugx) top100, 213 MB, mediafire.com
kingdomhearts  # 125690 views (ugx), 184 MB, mediafire.com
shinomorinachtderuntotenreborn  # 96920 views (ugx) top100, 771 MB, mediafire.com
legion  # 120866 views (ugx), 310 MB, mediafire.com
pokemonkantocarnagenighttime  # 119401 views (ugx), 261 MB, mediafire.com
hanoi  # 95288 views (ugx) top100, 356 MB, mediafire.com
legacy  # 118834 views (ugx), 184 MB, mediafire.com
rats  # 117921 views (ugx), 316 MB, mediafire.com
tankyard  # 117208 views (ugx), 266 MB, mediafire.com
jigsaw  # 108230 views (ugx), 164 MB, mediafire.com
heartofice  # 85072 views (ugx) top100, 324 MB, mediafire.com
saloon  # 83931 views (ugx) top100, 196 MB, mediafire.com
decontamination  # 101813 views (ugx), 205 MB, mediafire.com
snowglobe  # 78088 views (ugx) top100, 312 MB, mediafire.com
harambe  # 94584 views (ugx), 337 MB, mediafire.com
ilsletsgohome  # 93072 views (ugx), 133 MB, mediafire.com
desceproplay  # 90419 views (ugx), 504 MB, mediafire.com
bankjob  # 87631 views (ugx), 67 MB, mediafire.com
undeadforest  # 86866 views (ugx), 261 MB, mediafire.com
inferno  # 84179 views (ugx), 367 MB, mediafire.com
christmaswiththejoker  # 77417 views (ugx), 198 MB, mediafire.com
bowserscastle  # 61909 views (ugx) top100, 304 MB, mediafire.com
garage  # 74350 views (ugx), 426 MB, mediafire.com
thecrazyplace  # 72508 views (ugx), 196 MB, mediafire.com
