name,match,category,reason
100thieves,exact,CS organisations,"Team/org names. ""NAVI"" or ""Astralis"" as a username reads as official."
apeks,exact,CS organisations,"Team/org names. ""NAVI"" or ""Astralis"" as a username reads as official."
astralis,exact,CS organisations,"Team/org names. ""NAVI"" or ""Astralis"" as a username reads as official."
astralisgg,exact,CS organisations,"Team/org names. ""NAVI"" or ""Astralis"" as a username reads as official."
blastpremier,exact,CS organisations,"Team/org names. ""NAVI"" or ""Astralis"" as a username reads as official."
cloud9,exact,CS organisations,"Team/org names. ""NAVI"" or ""Astralis"" as a username reads as official."
complexity,exact,CS organisations,"Team/org names. ""NAVI"" or ""Astralis"" as a username reads as official."
dignitas,exact,CS organisations,"Team/org names. ""NAVI"" or ""Astralis"" as a username reads as official."
dreamhack,exact,CS organisations,"Team/org names. ""NAVI"" or ""Astralis"" as a username reads as official."
ence,exact,CS organisations,"Team/org names. ""NAVI"" or ""Astralis"" as a username reads as official."
envyus,exact,CS organisations,"Team/org names. ""NAVI"" or ""Astralis"" as a username reads as official."
eternalfire,exact,CS organisations,"Team/org names. ""NAVI"" or ""Astralis"" as a username reads as official."
evilgeniuses,exact,CS organisations,"Team/org names. ""NAVI"" or ""Astralis"" as a username reads as official."
falcons,exact,CS organisations,"Team/org names. ""NAVI"" or ""Astralis"" as a username reads as official."
faze,exact,CS organisations,"Team/org names. ""NAVI"" or ""Astralis"" as a username reads as official."
fazeclan,exact,CS organisations,"Team/org names. ""NAVI"" or ""Astralis"" as a username reads as official."
fnatic,exact,CS organisations,"Team/org names. ""NAVI"" or ""Astralis"" as a username reads as official."
furia,exact,CS organisations,"Team/org names. ""NAVI"" or ""Astralis"" as a username reads as official."
g2esports,exact,CS organisations,"Team/org names. ""NAVI"" or ""Astralis"" as a username reads as official."
gambit,exact,CS organisations,"Team/org names. ""NAVI"" or ""Astralis"" as a username reads as official."
gamerlegion,exact,CS organisations,"Team/org names. ""NAVI"" or ""Astralis"" as a username reads as official."
imperial,exact,CS organisations,"Team/org names. ""NAVI"" or ""Astralis"" as a username reads as official."
ldlc,exact,CS organisations,"Team/org names. ""NAVI"" or ""Astralis"" as a username reads as official."
luminosity,exact,CS organisations,"Team/org names. ""NAVI"" or ""Astralis"" as a username reads as official."
madlions,exact,CS organisations,"Team/org names. ""NAVI"" or ""Astralis"" as a username reads as official."
mibr,exact,CS organisations,"Team/org names. ""NAVI"" or ""Astralis"" as a username reads as official."
monte,exact,CS organisations,"Team/org names. ""NAVI"" or ""Astralis"" as a username reads as official."
mousesports,exact,CS organisations,"Team/org names. ""NAVI"" or ""Astralis"" as a username reads as official."
mouz,exact,CS organisations,"Team/org names. ""NAVI"" or ""Astralis"" as a username reads as official."
natusvincere,exact,CS organisations,"Team/org names. ""NAVI"" or ""Astralis"" as a username reads as official."
navi,exact,CS organisations,"Team/org names. ""NAVI"" or ""Astralis"" as a username reads as official."
ninjasinpyjamas,exact,CS organisations,"Team/org names. ""NAVI"" or ""Astralis"" as a username reads as official."
nip,exact,CS organisations,"Team/org names. ""NAVI"" or ""Astralis"" as a username reads as official."
nrg,exact,CS organisations,"Team/org names. ""NAVI"" or ""Astralis"" as a username reads as official."
optic,exact,CS organisations,"Team/org names. ""NAVI"" or ""Astralis"" as a username reads as official."
renegades,exact,CS organisations,"Team/org names. ""NAVI"" or ""Astralis"" as a username reads as official."
skgaming,exact,CS organisations,"Team/org names. ""NAVI"" or ""Astralis"" as a username reads as official."
teamliquid,exact,CS organisations,"Team/org names. ""NAVI"" or ""Astralis"" as a username reads as official."
teamvitality,exact,CS organisations,"Team/org names. ""NAVI"" or ""Astralis"" as a username reads as official."
tyloo,exact,CS organisations,"Team/org names. ""NAVI"" or ""Astralis"" as a username reads as official."
verygames,exact,CS organisations,"Team/org names. ""NAVI"" or ""Astralis"" as a username reads as official."
virtuspro,exact,CS organisations,"Team/org names. ""NAVI"" or ""Astralis"" as a username reads as official."
vitality,exact,CS organisations,"Team/org names. ""NAVI"" or ""Astralis"" as a username reads as official."
adren,exact,CS pro players,Pro player handles. Prevents impersonation of a known figure.
aleksib,exact,CS pro players,Pro player handles. Prevents impersonation of a known figure.
allu,exact,CS pro players,Pro player handles. Prevents impersonation of a known figure.
apex,exact,CS pro players,Pro player handles. Prevents impersonation of a known figure.
autimatic,exact,CS pro players,Pro player handles. Prevents impersonation of a known figure.
ax1le,exact,CS pro players,Pro player handles. Prevents impersonation of a known figure.
azr,exact,CS pro players,Pro player handles. Prevents impersonation of a known figure.
b1t,exact,CS pro players,Pro player handles. Prevents impersonation of a known figure.
